ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
FRA,tas_JJA,ssp2-45,Midcentury 2040-2059,67.7246106519449,68.9218152484603,70.4817832459381
FRA,tas_JJA,ssp2-45,End of century 2080-2099,68.4200435385771,70.490563290291,72.8896622536916
FRO,tas_JJA,ssp2-45,Historical 1986-2005,47.8840176755281,49.5618693941228,50.5277501313724
FRO,tas_JJA,ssp2-45,Next decades 2020-2039,49.3586251773216,51.2238988506192,53.0368296206253
FRO,tas_JJA,ssp2-45,Midcentury 2040-2059,49.7702019560742,51.7696019228096,53.4247272016679
FRO,tas_JJA,ssp2-45,End of century 2080-2099,48.8371503409133,52.0149994836826,55.366724532282
FSM,tas_JJA,ssp2-45,Historical 1986-2005,79.9509464931129,80.2213772944351,80.4078153101092
FSM,tas_JJA,ssp2-45,Next decades 2020-2039,81.0864382337086,81.3401271716946,81.9583448961341
FSM,tas_JJA,ssp2-45,Midcentury 2040-2059,81.6557637009181,81.9075919746583,82.8456322447746
FSM,tas_JJA,ssp2-45,End of century 2080-2099,82.1427617824547,82.7864232149839,83.8090407610317
GAB,tas_JJA,ssp2-45,Historical 1986-2005,74.7580609873844,75.0612541662093,75.1962672856074
GAB,tas_JJA,ssp2-45,Next decades 2020-2039,76.1117398651886,76.3963768150246,76.8396143962447
GAB,tas_JJA,ssp2-45,Midcentury 2040-2059,76.8243235946871,77.1354473571232,77.7101997221747
GAB,tas_JJA,ssp2-45,End of century 2080-2099,77.4804589985378,78.2194355777453,79.104343868627
GBR,tas_JJA,ssp2-45,Historical 1986-2005,57.4659895107039,58.1582013506132,58.5065802219345
GBR,tas_JJA,ssp2-45,Next decades 2020-2039,58.355573094072,59.9396098319196,61.1880391241364
GBR,tas_JJA,ssp2-45,Midcentury 2040-2059,59.4192750698643,60.3625082298693,62.3997033981981
GBR,tas_JJA,ssp2-45,End of century 2080-2099,59.2931625558239,61.440964547673,63.7804036543886
